Tool,Type,Topic,Language,Input,Format input,Output,Format output,Design,Build,Test,Learn,Country/Node,Sequence (i),Protein structure (o),In_DBTL_Cycle,DB,DT,DL,BT,BL,TL,DBT,DBL,DTL,BTL,DBTL
3DEM Loupe,Web application,"Electron microscopy, Imaging, Light microscopy, Protein interactions",,,,,,0,0,0,0,3DEM Loupe Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wurst,Web application,"Structure prediction, Protein structure analysis, Proteins, Protein folds and structural domains, Protein structural motifs and surfaces",,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GeneSilico,Web application,"Structure prediction, Protein structure analysis, Protein folds and structural domains, Proteins, Protein secondary structure",,,,,,1,0,0,0,Lukasz Kozlowski,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GlyNest and CASPER,Web application,"NMR, Small molecules, Structure prediction, MRI, Carbohydrates",,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BCL,Command-line tool,"Proteins, Cheminformatics, Mapping, Structure prediction, Protein structure analysis, Structure prediction, Membrane and lipoproteins, Medicinal chemistry",C++,,,,,1,0,0,0,Jens Meiler,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aCMs,Command-line tool,"Nucleic acid structure analysis, Molecular modelling",,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SplitPocket,Web application,"Protein structural motifs and surfaces, Proteins, Protein structure analysis",Java,,,,,0,0,0,0,Yan Y. Tseng,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polbase,Database portal,"DNA, Genetics, Biochemistry, Mapping",,,,,,0,1,1,0,Polbase Support,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Pomelo II,Web application,"Gene expression, Molecular interactions, pathways and networks, Ontology and terminology, Microarray experiment, Experimental design and studies",,,,,,0,0,1,0,Ramon Diaz,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PONGO,Web application,"Membrane and lipoproteins, Protein sites, features and motifs, Protein folds and structural domains, Small molecules, Gene transcripts",Python,,,,,1,0,0,0,Piero Fariselli,0,0,1,0,0,0,0,0,0,0,0,0,0,0
POWER,Web application,"Phylogenetics, Sequence analysis, Sequence composition, complexity and repeats, Phylogeny, Workflows",,,,,,0,0,0,0,Contact Form,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PredictProtein,Web application,"Structure prediction, Protein folds and structural domains, Sequence sites, features and motifs, Protein structural motifs and surfaces, Proteins",,,,,,1,0,0,0,PredictProtein Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PrDOS,Web application,"Small molecules, Protein disordered structure, Protein folds and structural domains, Structure prediction, Proteins",,,,,,1,0,0,0,PrDOS Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Predikin,Web application,"Proteins, Function analysis, Structure prediction",,,,,,1,0,0,0,Contact Form,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HotRegion,Database portal,"Protein folding, stability and design, Protein structural motifs and surfaces, Protein binding sites, Proteins, Structure prediction",,,,,,1,0,0,0,Engin Cukuroglu,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HorA,Web application,"Protein folds and structural domains, Proteins, Protein structure analysis, Molecular modelling, Structure prediction",,,,,,1,0,0,0,N. Grishin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PROMALS3D,Web application,"Structure prediction, Protein secondary structure, Proteins, Structure analysis, Sequence analysis",,,,,,1,0,0,0,PROMALS3D Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ProSMoS,Web application,"Protein structural motifs and surfaces, Protein secondary structure, Protein folds and structural domains, Protein structure analysis, Proteins",,,,,,0,0,0,0,Shuoyong Shi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PromoterCAD,Web application,"Transcription factors and regulatory sites, Gene expression, Plant biology, Data mining, DNA",,,,,,0,0,1,0,PromoterCAD Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ScanProsite,Web application,"Proteins, Sequence analysis, Protein sites, features and motifs, Sequence sites, features and motifs, Gene and protein families",,,,,,1,0,0,0,"SIB Swiss Institute of Bioinformatics, Contact Form",0,0,1,0,0,0,0,0,0,0,0,0,0,0
ProSplicer,Database portal,"Gene transcripts, RNA splicing, Protein variants, Proteins",,,,,,0,0,0,0,ProSplicer Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProteinDBS,Web application,"Protein structure analysis, Proteins, Structure prediction, Protein structural motifs and surfaces",,,,,,1,0,0,0,shyuc@missouri.edu,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RHYTHM,Web application,"Biology, Protein folds and structural domains, Membrane and lipoproteins, Protein secondary structure, Structure prediction",,,,,,1,1,0,0,Peter Hildebrand,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LGA,Web application,"Protein structure analysis, Structure prediction, Protein structural motifs and surfaces, Proteins, Protein folds and structural domains",,,,,,1,0,0,0,Adam Zemla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Protemot,Web application,"Protein binding sites, Protein structural motifs and surfaces, Structure prediction, Proteins, Protein structure analysis",,,,,,1,0,0,0,Protemot Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NOA,Plug-in,"Systems biology, Ontology and terminology",Java,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NCIS,Command-line tool,"Cancer, Gene expression",MATLAB,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NAP,Desktop application,"Sequence analysis, Gene transcripts, DNA",Java,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RACA,Command-line tool,Sequence assembly,,,,,,0,1,0,0,Jaebum Kim,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PINT,Web application,"Molecular interactions, pathways and networks, Systems biology, Model organisms",,,,,,1,0,0,0,PINT Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KinasePhos,Web application,"Sequence sites, features and motifs, Proteins, Protein sites, features and motifs, Structure prediction, Transcription factors and regulatory sites",,,,,,1,0,0,0,KinasePhos Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MultAssoc,Command-line tool,"Disease, Genetics",MATLAB,,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MotifSearch,Command-line tool,"DNA binding sites, DNA",,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MotifScan,Command-line tool,DNA,Python,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MotifSampler,Command-line tool,"Organisms, Probability, DNA",Perl,,,,,0,0,1,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MotifRegressor,Command-line tool,"Sequence sites, features and motifs, DNA","R, Perl",,,,,1,0,1,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MitoBank,Command-line tool,"RNA, DNA",Perl,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Micropilot,Command-line tool,"Microscopy, Imaging",,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaTASSER,Command-line tool,"Structure prediction, Molecular modelling, Protein structure prediction, Assembly, Protein structure",,,,,,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MetaQC,Command-line tool,Studies,R,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McSNP,Desktop application,"Genotyping, SNP, Genetics",Java,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Matt,Command-line tool,Protein structure,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MamPhEA,Command-line tool,Genetics,,,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MWT,Command-line tool,samples,R,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSA,Command-line tool,DNA,,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MULTICOM,Command-line tool,Structure prediction,,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MSQT,Command-line tool,"DNA, SNP, Polymorphism",Perl,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MRVTEST,Command-line tool,"Genetics, Linkage",,,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MODexplorer,Command-line tool,"Homology modeling, Protein families",JavaScript,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIXMUL,Command-line tool,Genetics,R,,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MITE Digger,Desktop application,DNA,Perl,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MISHIMA,Command-line tool,DNA,C,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MIMO,Command-line tool,"Systems biology, Pathways",C,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MGA,Command-line tool,"Sequence analysis, DNA",,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEMSAT-SVM,Command-line tool,"Structure prediction, Protein structure prediction, Protein structure",Perl,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MED,Command-line tool,"Gene expression, DNA",C++,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEAP,Command-line tool,Transcriptome,R,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MDCS,Command-line tool,"Cancer, samples",Perl,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
